trip_id,direction,delay_formatted,local_arrival_time,start_date,schedule_relationship,route_id,direction_id
GO301_24_8066,,0m 42s,2024-07-06 19:21:42-04:00,20240706,0,4,0
GO301_24_6266,,-1m 1s,2024-07-06 19:34:01-04:00,20240706,0,1,0
GO301_24_7666,,-1m 50s,2024-07-06 19:56:50-04:00,20240706,0,10,0
GO301_24_6766,,-4m 56s,2024-07-06 19:58:56-04:00,20240706,0,2,0
GO301_24_6872,,0m 12s,2024-07-06 20:08:12-04:00,20240706,0,6,0
GO301_24_8068,,0m 13s,2024-07-06 20:21:13-04:00,20240706,0,4,0
GO301_24_6268,,-2m 42s,2024-07-06 20:30:42-04:00,20240706,0,1,0
GO301_24_6178,,-1m 33s,2024-07-06 19:05:33-04:00,20240706,0,1,0
GO301_24_7566,,-1m 37s,2024-07-06 19:24:37-04:00,20240706,0,10,0
GO301_24_8764,,-4m 37s,2024-07-06 19:41:37-04:00,20240706,0,7,0
GO301_24_7665,,-5m 18s,2024-07-06 19:41:18-04:00,20240706,0,10,1
GO301_24_8065,,-3m 5s,2024-07-06 19:53:05-04:00,20240706,0,4,1
GO301_24_6875,,1m 24s,2024-07-06 20:29:24-04:00,20240706,0,6,1
GO301_24_7967,,0m 18s,2024-07-06 20:21:18-04:00,20240706,0,4,1
GO301_24_6267,,-2m 41s,2024-07-06 20:14:41-04:00,20240706,0,1,1
GO301_24_7567,,1m 9s,2024-07-06 20:12:09-04:00,20240706,0,10,1
GO301_24_6182,,-2m 52s,2024-07-06 20:04:52-04:00,20240706,0,1,0
GO301_24_7568,,1m 14s,2024-07-06 20:25:14-04:00,20240706,0,10,0
GO301_24_8766,,-2m 17s,2024-07-06 20:43:17-04:00,20240706,0,7,0
GO301_24_6567,,-1m 36s,2024-07-06 20:35:36-04:00,20240706,0,3,1
GO301_24_6179,,2m 26s,2024-07-06 20:32:26-04:00,20240706,0,1,1
GO301_24_7764,,-2m 45s,2024-07-06 20:01:45-04:00,20240706,0,8,0
GO301_24_8936,,-2m 6s,2024-07-06 20:20:06-04:00,20240706,0,12,0
GO301_24_7765,,3m 53s,2024-07-06 20:27:53-04:00,20240706,0,8,1
GO301_24_6767,,-2m 28s,2024-07-06 20:31:28-04:00,20240706,0,2,1
GO301_24_8769,,1m 22s,2024-07-06 20:44:22-04:00,20240706,0,7,1
GO301_24_8940,,-3m 53s,2024-07-06 20:39:53-04:00,20240706,0,12,0
GO301_24_6181,,-3m 11s,2024-07-06 20:47:11-04:00,20240706,0,1,1
GO301_24_7968,,0m 55s,2024-07-06 20:51:55-04:00,20240706,0,4,0
GO301_24_8067,,-3m 54s,2024-07-06 20:53:54-04:00,20240706,0,4,1
GO301_24_6184,,1m 53s,2024-07-06 20:55:53-04:00,20240706,0,1,0
GO301_24_7668,,2m 38s,2024-07-06 20:59:38-04:00,20240706,0,10,0
GO301_24_7766,,-2m 37s,2024-07-06 21:01:37-04:00,20240706,0,8,0
GO301_24_6768,,0m 42s,2024-07-06 21:02:42-04:00,20240706,0,2,0
GO301_24_6186,,0m 53s,2024-07-06 21:06:53-04:00,20240706,0,1,0
GO301_24_6874,,1m 23s,2024-07-06 21:09:23-04:00,20240706,0,6,0
GO301_24_6269,,-2m 47s,2024-07-06 21:10:47-04:00,20240706,0,1,1
GO301_24_7569,,2m 50s,2024-07-06 21:10:50-04:00,20240706,0,10,1
GO301_24_7969,,-1m 1s,2024-07-06 21:20:01-04:00,20240706,0,4,1
GO301_24_8070,,0m 13s,2024-07-06 21:21:13-04:00,20240706,0,4,0
GO301_24_8946,,-1m 13s,2024-07-06 21:21:13-04:00,20240706,0,12,0
GO301_24_7570,,0m 17s,2024-07-06 21:24:17-04:00,20240706,0,10,0
GO301_24_7767,,0m 18s,2024-07-06 21:24:18-04:00,20240706,0,8,1
GO301_24_6877,,1m 33s,2024-07-06 21:29:33-04:00,20240706,0,6,1
GO301_24_6183,,1m 53s,2024-07-06 21:31:53-04:00,20240706,0,1,1
GO301_24_6769,,0m 12s,2024-07-06 21:33:12-04:00,20240706,0,2,1
GO301_24_6270,,0m 23s,2024-07-06 21:35:23-04:00,20240706,0,1,0
GO301_24_6067,,0m 45s,2024-07-06 21:35:45-04:00,20240706,0,5,1
GO301_24_8773,,-3m 32s,2024-07-06 21:40:32-04:00,20240706,0,7,1
GO301_24_7669,,-6m 58s,2024-07-06 21:40:58-04:00,20240706,0,10,1
GO301_24_8948,,0m 47s,2024-07-06 21:42:47-04:00,20240706,0,12,0
GO301_24_8768,,0m 42s,2024-07-06 21:45:42-04:00,20240706,0,7,0
