trip_id,direction,delay_formatted,local_arrival_time,start_date,schedule_relationship,route_id,direction_id
GO301_24_44,,1m 11s,2024-07-08 18:49:11-04:00,20240708,0,5,0
GO301_24_274,,-5m 30s,2024-07-08 18:57:30-04:00,20240708,0,1,0
GO301_24_668,,3m 35s,2024-07-08 19:02:35-04:00,20240708,0,10,0
GO301_24_869,,-2m 16s,2024-07-08 19:22:16-04:00,20240708,0,6,1
GO301_24_1068,,-2m 52s,2024-07-08 19:11:52-04:00,20240708,0,4,0
GO301_24_178,,0m 23s,2024-07-08 19:20:23-04:00,20240708,0,1,0
GO301_24_2065,,0m 47s,2024-07-08 19:56:47-04:00,20240708,0,4,1
GO301_24_276,,0m 43s,2024-07-08 19:29:43-04:00,20240708,0,1,0
GO301_24_181,,-2m 35s,2024-07-08 19:45:35-04:00,20240708,0,1,1
GO301_24_267,,1m 6s,2024-07-08 20:12:06-04:00,20240708,0,1,1
GO301_24_778,,2m 28s,2024-07-08 19:42:28-04:00,20240708,0,2,0
GO301_24_1971,,0m 57s,2024-07-08 20:19:57-04:00,20240708,0,4,1
GO301_24_2771,,-4m 22s,2024-07-08 19:55:22-04:00,20240708,0,7,1
GO301_24_1574,,0m 42s,2024-07-08 19:37:42-04:00,20240708,0,10,0
GO301_24_180,,2m 55s,2024-07-08 19:45:55-04:00,20240708,0,1,0
GO301_24_1565,,1m 32s,2024-07-08 20:16:32-04:00,20240708,0,10,1
GO301_24_2778,,3m 18s,2024-07-08 19:49:18-04:00,20240708,0,7,0
GO301_24_1072,,1m 39s,2024-07-08 19:50:39-04:00,20240708,0,4,0
GO301_24_1670,,-3m 9s,2024-07-08 19:53:09-04:00,20240708,0,10,0
GO301_24_1768,,0m 29s,2024-07-08 19:58:29-04:00,20240708,0,8,0
GO301_24_183,,-2m 51s,2024-07-08 20:29:51-04:00,20240708,0,1,1
GO301_24_1667,,3m 20s,2024-07-08 20:38:20-04:00,20240708,0,10,1
GO301_24_284,,0m 1s,2024-07-08 20:12:01-04:00,20240708,0,1,0
GO301_24_1767,,-2m 29s,2024-07-08 20:16:29-04:00,20240708,0,8,1
GO301_24_882,,-1m 2s,2024-07-08 20:03:02-04:00,20240708,0,6,0
GO301_24_184,,2m 55s,2024-07-08 20:21:55-04:00,20240708,0,1,0
GO301_24_1576,,0m 2s,2024-07-08 20:15:02-04:00,20240708,0,10,0
GO301_24_2968,,-2m 24s,2024-07-08 20:20:24-04:00,20240708,0,12,0
GO301_24_2780,,2m 0s,2024-07-08 20:18:00-04:00,20240708,0,7,0
GO301_24_780,,-1m 34s,2024-07-08 20:12:34-04:00,20240708,0,2,0
GO301_24_769,,1m 39s,2024-07-08 20:26:39-04:00,20240708,0,2,1
GO301_24_2773,,-1m 54s,2024-07-08 20:39:54-04:00,20240708,0,7,1
GO301_24_286,,-3m 2s,2024-07-08 20:32:02-04:00,20240708,0,1,0
GO301_24_1580,,-2m 52s,2024-07-08 20:29:52-04:00,20240708,0,10,0
GO301_24_2784,,-4m 59s,2024-07-08 20:41:59-04:00,20240708,0,7,0
GO301_24_2970,,2m 14s,2024-07-08 20:44:14-04:00,20240708,0,12,0
GO301_24_185,,-2m 40s,2024-07-08 20:45:40-04:00,20240708,0,1,1
GO301_24_873,,-4m 12s,2024-07-08 20:46:12-04:00,20240708,0,6,1
GO301_24_782,,-7m 13s,2024-07-08 20:50:13-04:00,20240708,0,2,0
GO301_24_2067,,-3m 45s,2024-07-08 20:53:45-04:00,20240708,0,4,1
GO301_24_1972,,-1m 40s,2024-07-08 20:53:40-04:00,20240708,0,4,0
GO301_24_1672,,-1m 41s,2024-07-08 21:02:41-04:00,20240708,0,10,0
GO301_24_187,,-2m 20s,2024-07-08 21:04:20-04:00,20240708,0,1,1
GO301_24_1569,,-3m 14s,2024-07-08 21:05:14-04:00,20240708,0,10,1
GO301_24_1770,,-2m 47s,2024-07-08 21:04:47-04:00,20240708,0,8,0
GO301_24_186,,-1m 17s,2024-07-08 21:09:17-04:00,20240708,0,1,0
GO301_24_886,,0m 50s,2024-07-08 21:14:50-04:00,20240708,0,6,0
