trip_id,direction,delay_formatted,local_arrival_time,start_date,schedule_relationship,route_id,direction_id
GO301_24_6756,,1m 29s,2024-07-14 16:03:29-04:00,20240714,0,2,0
GO301_24_6856_2,,1m 5s,2024-07-14 15:10:05-04:00,20240714,0,6,0
GO301_24_6256,,0m 36s,2024-07-14 15:32:36-04:00,20240714,0,1,0
GO301_24_7656_3,,2m 54s,2024-07-14 15:59:54-04:00,20240714,0,10,0
GO301_24_7954,,0m 49s,2024-07-14 14:51:49-04:00,20240714,0,4,0
GO301_24_6161,,4m 30s,2024-07-14 15:34:30-04:00,20240714,0,1,1
GO301_24_7955,,0m 26s,2024-07-14 15:21:26-04:00,20240714,0,4,1
GO301_24_6160,,0m 15s,2024-07-14 15:06:15-04:00,20240714,0,1,0
GO301_24_8055_2,,-3m 47s,2024-07-14 15:43:47-04:00,20240714,0,4,1
GO301_24_6857_1,,5m 47s,2024-07-14 15:23:47-04:00,20240714,0,6,1
GO301_24_6860_4,,2m 0s,2024-07-14 16:11:00-04:00,20240714,0,6,0
GO301_24_7755,,4m 29s,2024-07-14 15:28:29-04:00,20240714,0,8,1
GO301_24_6755,,-3m 55s,2024-07-14 15:30:55-04:00,20240714,0,2,1
GO301_24_6163,,-2m 25s,2024-07-14 15:47:25-04:00,20240714,0,1,1
GO301_24_6257,,-2m 54s,2024-07-14 16:09:54-04:00,20240714,0,1,1
GO301_24_7556_3,,2m 11s,2024-07-14 15:26:11-04:00,20240714,0,10,0
GO301_24_8757_2,,-4m 29s,2024-07-14 15:39:29-04:00,20240714,0,7,1
GO301_24_7956,,0m 48s,2024-07-14 15:51:48-04:00,20240714,0,4,0
GO301_24_6162,,2m 18s,2024-07-14 15:56:18-04:00,20240714,0,1,0
GO301_24_7655_2,,-1m 7s,2024-07-14 15:39:07-04:00,20240714,0,10,1
GO301_24_6863_1,,2m 14s,2024-07-14 16:05:14-04:00,20240714,0,6,1
GO301_24_7756,,2m 16s,2024-07-14 16:05:16-04:00,20240714,0,8,0
GO301_24_7957_4,,-1m 53s,2024-07-14 16:16:53-04:00,20240714,0,4,1
GO301_24_8058,,1m 1s,2024-07-14 16:22:01-04:00,20240714,0,4,0
GO301_24_8904,,-1m 53s,2024-07-14 16:21:53-04:00,20240714,0,12,0
