trip_id,direction,delay_formatted,local_arrival_time,start_date,schedule_relationship,route_id,direction_id
GO301_24_6720,,3m 29s,2024-07-27 11:05:29-04:00,20240727,0,2,0
GO301_24_8020,,0m 35s,2024-07-27 10:21:35-04:00,20240727,0,4,0
GO301_24_6822_2,,4m 47s,2024-07-27 11:13:47-04:00,20240727,0,6,0
GO301_24_7620_3,,4m 11s,2024-07-27 11:01:11-04:00,20240727,0,10,0
GO301_24_6220,,6m 19s,2024-07-27 11:41:19-04:00,20240727,0,1,0
GO301_24_8022,,0m 28s,2024-07-27 11:21:28-04:00,20240727,3,4,0
GO301_24_7920,,1m 16s,2024-07-27 10:52:16-04:00,20240727,0,4,0
GO301_24_6126,,2m 29s,2024-07-27 10:56:29-04:00,20240727,0,1,0
GO301_24_6128,,4m 4s,2024-07-27 11:10:04-04:00,20240727,0,1,0
GO301_24_6217,,-3m 17s,2024-07-27 11:08:17-04:00,20240727,0,1,1
GO301_24_6127,,1m 39s,2024-07-27 11:31:39-04:00,20240727,0,1,1
GO301_24_8017_2,,-5m 29s,2024-07-27 10:41:29-04:00,20240727,0,4,1
GO301_24_8720_3,,-2m 24s,2024-07-27 11:45:24-04:00,20240727,0,7,0
GO301_24_7519_3,,1m 20s,2024-07-27 11:09:20-04:00,20240727,0,10,1
GO301_24_7917_4,,2m 29s,2024-07-27 11:19:29-04:00,20240727,0,4,1
GO301_24_6511_2,,2m 51s,2024-07-27 11:12:51-04:00,20240727,0,3,1
GO301_24_7617_2,,-3m 51s,2024-07-27 11:37:51-04:00,20240727,0,10,1
GO301_24_8719_2,,-1m 22s,2024-07-27 10:42:22-04:00,20240727,0,7,1
GO301_24_7718,,0m 0s,2024-07-27 11:03:00-04:00,20240727,0,8,0
GO301_24_8864,,-1m 45s,2024-07-27 11:21:45-04:00,20240727,0,12,0
GO301_24_8019_2,,-4m 14s,2024-07-27 11:42:14-04:00,20240727,0,4,1
GO301_24_6823_2,,1m 43s,2024-07-27 11:04:43-04:00,20240727,0,6,1
GO301_24_8868,,0m 30s,2024-07-27 11:42:30-04:00,20240727,0,12,0
GO301_24_6723,,-1m 7s,2024-07-27 11:32:07-04:00,20240727,0,2,1
