trip_id,direction,delay_formatted,local_arrival_time,start_date,schedule_relationship,route_id,direction_id
GO301_24_1258,,-4m 4s,2024-07-16 17:20:04-04:00,20240716,0,1,0
GO301_24_1963,,1m 1s,2024-07-16 17:17:01-04:00,20240716,0,4,1
GO301_24_45,,0m 14s,2024-07-16 17:51:14-04:00,20240716,0,5,1
GO301_24_658,,-1m 28s,2024-07-16 16:37:28-04:00,20240716,0,10,0
GO301_24_659,,2m 50s,2024-07-16 17:53:50-04:00,20240716,0,10,1
GO301_24_18,,1m 11s,2024-07-16 16:49:11-04:00,20240716,0,5,0
GO301_24_80,,-2m 5s,2024-07-16 16:57:05-04:00,20240716,0,5,0
GO301_24_1962,,0m 23s,2024-07-16 16:54:23-04:00,20240716,0,4,0
GO301_24_173_1,,0m 30s,2024-07-16 17:46:30-04:00,20240716,0,1,1
GO301_24_563_1,,6m 11s,2024-07-16 17:44:11-04:00,20240716,0,3,1
GO301_24_2763,,-1m 12s,2024-07-16 17:12:12-04:00,20240716,0,7,1
GO301_24_1056,,0m 55s,2024-07-16 17:06:55-04:00,20240716,0,4,0
GO301_24_1661_2,,1m 27s,2024-07-16 17:38:27-04:00,20240716,0,10,1
GO301_24_266,,-1m 40s,2024-07-16 17:11:40-04:00,20240716,0,1,0
GO301_24_660,,0m 21s,2024-07-16 17:13:21-04:00,20240716,0,10,0
GO301_24_2066,,1m 12s,2024-07-16 17:17:12-04:00,20240716,0,4,0
GO301_24_1965,,2m 4s,2024-07-16 18:01:04-04:00,20240716,0,4,1
GO301_24_761,,1m 27s,2024-07-16 17:35:27-04:00,20240716,0,2,1
GO301_24_1964,,-1m 34s,2024-07-16 17:23:34-04:00,20240716,0,4,0
GO301_24_863,,1m 45s,2024-07-16 17:30:45-04:00,20240716,0,6,1
GO301_24_662,,-8m 50s,2024-07-16 17:22:50-04:00,20240716,0,10,0
GO301_24_762,,-1m 31s,2024-07-16 17:20:31-04:00,20240716,0,2,0
GO301_24_1660,,-1m 56s,2024-07-16 17:26:56-04:00,20240716,0,10,0
GO301_24_2766,,-3m 1s,2024-07-16 17:29:01-04:00,20240716,0,7,0
GO301_24_42,,1m 22s,2024-07-16 17:37:22-04:00,20240716,0,5,0
GO301_24_268,,0m 22s,2024-07-16 17:48:22-04:00,20240716,0,1,0
GO301_24_866,,-1m 20s,2024-07-16 17:38:20-04:00,20240716,0,6,0
GO301_24_1166,,1m 31s,2024-07-16 18:05:31-04:00,20240716,0,1,0
