trip_id,direction,delay_formatted,local_arrival_time,start_date,schedule_relationship,route_id,direction_id
GO301_24_8052,,-1m 59s,2024-08-03 13:20:59-04:00,20240803,0,4,0
GO301_24_6852_2,,-1m 38s,2024-08-03 13:08:38-04:00,20240803,0,6,0
GO301_24_7652_3,,11m 3s,2024-08-03 14:08:03-04:00,20240803,0,10,0
GO301_24_6752,,0m 50s,2024-08-03 14:02:50-04:00,20240803,0,2,0
GO301_24_6252,,0m 57s,2024-08-03 13:32:57-04:00,20240803,0,1,0
GO301_24_6854_2,,2m 32s,2024-08-03 14:11:32-04:00,20240803,0,6,0
GO301_24_7951_4,,-3m 47s,2024-08-03 13:14:47-04:00,20240803,0,4,1
GO301_24_7950,,1m 6s,2024-08-03 12:52:06-04:00,20240803,0,4,0
GO301_24_7551_3,,3m 42s,2024-08-03 13:11:42-04:00,20240803,0,10,1
GO301_24_6153,,-1m 12s,2024-08-03 13:29:12-04:00,20240803,0,1,1
GO301_24_6152,,-1m 7s,2024-08-03 13:05:07-04:00,20240803,0,1,0
GO301_24_8051_2,,-2m 41s,2024-08-03 13:44:41-04:00,20240803,0,4,1
GO301_24_7552_3,,0m 25s,2024-08-03 13:24:25-04:00,20240803,0,10,0
GO301_24_6855_1,,-2m 24s,2024-08-03 14:01:24-04:00,20240803,0,6,1
GO301_24_7751,,-3m 59s,2024-08-03 13:21:59-04:00,20240803,0,8,1
GO301_24_6751,,-2m 31s,2024-08-03 13:31:31-04:00,20240803,0,2,1
GO301_24_6155,,-2m 6s,2024-08-03 13:50:06-04:00,20240803,0,1,1
GO301_24_8753_2,,0m 3s,2024-08-03 13:43:03-04:00,20240803,0,7,1
GO301_24_7651_2,,-2m 11s,2024-08-03 13:38:11-04:00,20240803,0,10,1
GO301_24_8752_2,,-2m 35s,2024-08-03 13:43:35-04:00,20240803,0,7,0
GO301_24_8884,,0m 58s,2024-08-03 13:42:58-04:00,20240803,0,12,0
GO301_24_7952,,1m 10s,2024-08-03 13:52:10-04:00,20240803,0,4,0
GO301_24_7553_3,,-2m 57s,2024-08-03 14:06:57-04:00,20240803,0,10,1
GO301_24_6154,,1m 53s,2024-08-03 13:55:53-04:00,20240803,0,1,0
GO301_24_7752,,2m 11s,2024-08-03 14:05:11-04:00,20240803,0,8,0
GO301_24_6156,,1m 13s,2024-08-03 14:07:13-04:00,20240803,0,1,0
GO301_24_7753_2,,-1m 34s,2024-08-03 14:11:34-04:00,20240803,0,8,1
GO301_24_7953_4,,-4m 43s,2024-08-03 14:14:43-04:00,20240803,0,4,1
GO301_24_6253,,0m 55s,2024-08-03 14:15:55-04:00,20240803,0,1,1
GO301_24_6005_3,,5m 29s,2024-08-03 14:22:29-04:00,20240803,0,5,1
GO301_24_8054,,1m 1s,2024-08-03 14:22:01-04:00,20240803,0,4,0
GO301_24_8888,,0m 42s,2024-08-03 14:22:42-04:00,20240803,0,12,0
GO301_24_7554_3,,1m 22s,2024-08-03 14:31:22-04:00,20240803,0,10,0
GO301_24_6157,,3m 6s,2024-08-03 14:33:06-04:00,20240803,0,1,1
GO301_24_6753,,2m 15s,2024-08-03 14:35:15-04:00,20240803,0,2,1
GO301_24_7653_2,,-3m 30s,2024-08-03 14:37:30-04:00,20240803,0,10,1
GO301_24_6254,,-1m 57s,2024-08-03 14:38:57-04:00,20240803,0,1,0
GO301_24_6057,,6m 0s,2024-08-03 14:41:00-04:00,20240803,0,5,1
GO301_24_8053_2,,-4m 45s,2024-08-03 14:42:45-04:00,20240803,0,4,1
GO301_24_8892,,1m 59s,2024-08-03 14:43:59-04:00,20240803,0,12,0
GO301_24_8755_2,,2m 23s,2024-08-03 14:45:23-04:00,20240803,0,7,1
GO301_24_8754_2,,0m 53s,2024-08-03 14:45:53-04:00,20240803,0,7,0
GO301_24_7954,,5m 16s,2024-08-03 14:56:16-04:00,20240803,0,4,0
GO301_24_7654_3,,2m 48s,2024-08-03 14:59:48-04:00,20240803,0,10,0
