trip_id,direction,delay_formatted,local_arrival_time,start_date,schedule_relationship,route_id,direction_id
GO301_24_519,,4m 9s,2024-07-26 10:40:09-04:00,20240726,0,3,1
GO301_24_1620,,0m 49s,2024-07-26 11:59:49-04:00,20240726,0,10,0
GO301_24_1296,,-2m 47s,2024-07-26 12:26:47-04:00,20240726,0,1,0
GO301_24_1650,,2m 37s,2024-07-26 13:01:37-04:00,20240726,0,10,0
GO301_24_750,,-1m 15s,2024-07-26 13:08:15-04:00,20240726,0,2,0
GO301_24_146,,-1m 40s,2024-07-26 11:54:40-04:00,20240726,0,1,0
GO301_24_1750,,-1m 8s,2024-07-26 13:05:08-04:00,20240726,0,8,0
GO301_24_149,,0m 10s,2024-07-26 12:35:10-04:00,20240726,0,1,1
GO301_24_155,,1m 7s,2024-07-26 12:56:07-04:00,20240726,0,1,1
GO301_24_1920,,-1m 31s,2024-07-26 11:51:31-04:00,20240726,0,4,0
GO301_24_2027,,2m 45s,2024-07-26 12:23:45-04:00,20240726,0,4,1
GO301_24_1529,,-3m 12s,2024-07-26 12:05:12-04:00,20240726,0,10,1
GO301_24_1631,,0m 10s,2024-07-26 12:40:10-04:00,20240726,0,10,1
GO301_24_1931,,1m 24s,2024-07-26 12:51:24-04:00,20240726,0,4,1
GO301_24_1293,,-2m 6s,2024-07-26 12:14:06-04:00,20240726,0,1,1
GO301_24_1550,,0m 18s,2024-07-26 12:33:18-04:00,20240726,0,10,0
GO301_24_148,,-1m 12s,2024-07-26 12:41:12-04:00,20240726,0,1,0
GO301_24_824,,2m 38s,2024-07-26 12:17:38-04:00,20240726,0,6,0
GO301_24_1950,,-1m 7s,2024-07-26 12:51:07-04:00,20240726,0,4,0
GO301_24_150,,-1m 59s,2024-07-26 12:54:59-04:00,20240726,0,1,0
GO301_24_751,,0m 20s,2024-07-26 12:31:20-04:00,20240726,0,2,1
GO301_24_1721,,0m 35s,2024-07-26 12:28:35-04:00,20240726,0,8,1
GO301_24_839,,0m 12s,2024-07-26 12:25:12-04:00,20240726,0,6,1
GO301_24_2890,,1m 33s,2024-07-26 13:09:33-04:00,20240726,0,12,0
GO301_24_2750,,0m 49s,2024-07-26 12:45:49-04:00,20240726,0,7,0
GO301_24_1551,,-3m 28s,2024-07-26 13:05:28-04:00,20240726,0,10,1
GO301_24_2753,,-2m 17s,2024-07-26 13:00:17-04:00,20240726,0,7,1
GO301_24_1518,,0m 4s,2024-07-26 10:33:04-04:00,20240726,0,10,0
GO301_24_1719,,-1m 5s,2024-07-26 11:27:05-04:00,20240726,0,8,1
GO301_24_1295,,-1m 9s,2024-07-26 13:15:09-04:00,20240726,0,1,1
GO301_24_852,,1m 47s,2024-07-26 13:16:47-04:00,20240726,0,6,0
GO301_24_2052,,-3m 26s,2024-07-26 13:20:26-04:00,20240726,0,4,0
GO301_24_853,,-2m 32s,2024-07-26 13:23:32-04:00,20240726,0,6,1
GO301_24_2051,,3m 58s,2024-07-26 13:24:58-04:00,20240726,0,4,1
