trip_id,direction,delay_formatted,local_arrival_time,start_date,schedule_relationship,route_id,direction_id
GO301_24_258,,-2m 17s,2024-07-15 14:12:17-04:00,20240715,0,1,0
GO301_24_2056,,-3m 56s,2024-07-15 14:21:56-04:00,20240715,0,4,0
GO301_24_1654,,-1m 48s,2024-07-15 14:58:48-04:00,20240715,0,10,0
GO301_24_161,,-2m 41s,2024-07-15 14:43:41-04:00,20240715,0,1,1
GO301_24_163,,-2m 12s,2024-07-15 14:53:12-04:00,20240715,0,1,1
GO301_24_1953_2,,2m 12s,2024-07-15 14:52:12-04:00,20240715,0,4,1
GO301_24_855,,3m 9s,2024-07-15 14:25:09-04:00,20240715,0,6,1
GO301_24_1653_1,,-3m 57s,2024-07-15 14:37:57-04:00,20240715,0,10,1
GO301_24_262,,-2m 1s,2024-07-15 15:24:01-04:00,20240715,0,1,0
GO301_24_2754,,0m 42s,2024-07-15 14:45:42-04:00,20240715,0,7,0
GO301_24_2060,,-2m 54s,2024-07-15 15:21:54-04:00,20240715,0,4,0
GO301_24_1554,,-1m 28s,2024-07-15 14:28:28-04:00,20240715,0,10,0
GO301_24_1555,,0m 38s,2024-07-15 15:08:38-04:00,20240715,0,10,1
GO301_24_1955,,0m 59s,2024-07-15 15:21:59-04:00,20240715,0,4,1
GO301_24_1954,,0m 16s,2024-07-15 14:50:16-04:00,20240715,0,4,0
GO301_24_2757,,-2m 12s,2024-07-15 15:00:12-04:00,20240715,0,7,1
GO301_24_158,,-1m 14s,2024-07-15 14:55:14-04:00,20240715,0,1,0
GO301_24_160,,-1m 44s,2024-07-15 14:58:44-04:00,20240715,0,1,0
GO301_24_1299,,-2m 9s,2024-07-15 15:14:09-04:00,20240715,0,1,1
GO301_24_1754,,-1m 0s,2024-07-15 15:08:00-04:00,20240715,0,8,0
GO301_24_2756,,-2m 11s,2024-07-15 15:17:11-04:00,20240715,0,7,0
GO301_24_1556,,-1m 34s,2024-07-15 15:30:34-04:00,20240715,0,10,0
GO301_24_162,,0m 21s,2024-07-15 15:06:21-04:00,20240715,0,1,0
GO301_24_2902,,-1m 35s,2024-07-15 15:07:35-04:00,20240715,0,12,0
GO301_24_856,,-1m 45s,2024-07-15 15:12:45-04:00,20240715,0,6,0
GO301_24_857,,3m 23s,2024-07-15 15:32:23-04:00,20240715,0,6,1
GO301_24_1956,,-2m 34s,2024-07-15 15:15:34-04:00,20240715,0,4,0
