trip_id,direction,delay_formatted,local_arrival_time,start_date,schedule_relationship,route_id,direction_id
GO301_24_6214,,1m 29s,2024-07-21 08:36:29-04:00,20240721,0,1,0
GO301_24_6216,,-1m 39s,2024-07-21 09:34:39-04:00,20240721,0,1,0
GO301_24_8016,,1m 48s,2024-07-21 09:22:48-04:00,20240721,0,4,0
GO301_24_6816_2,,0m 33s,2024-07-21 09:09:33-04:00,20240721,0,6,0
GO301_24_7914,,0m 54s,2024-07-21 08:51:54-04:00,20240721,0,4,0
GO301_24_6001,,0m 2s,2024-07-21 09:52:02-04:00,20240721,0,5,1
GO301_24_6120,,-1m 49s,2024-07-21 09:05:49-04:00,20240721,0,1,0
GO301_24_7516_3,,-1m 23s,2024-07-21 09:29:23-04:00,20240721,0,10,0
GO301_24_8716_2,,-3m 45s,2024-07-21 09:42:45-04:00,20240721,0,7,0
GO301_24_7916,,0m 26s,2024-07-21 09:51:26-04:00,20240721,0,4,0
GO301_24_7913_4,,-3m 58s,2024-07-21 09:14:58-04:00,20240721,0,4,1
GO301_24_6818,,1m 10s,2024-07-21 09:55:10-04:00,20240721,0,6,0
GO301_24_6124,,1m 55s,2024-07-21 10:07:55-04:00,20240721,0,1,0
GO301_24_7613_2,,-1m 23s,2024-07-21 09:39:23-04:00,20240721,0,10,1
GO301_24_8015_2,,-3m 29s,2024-07-21 09:43:29-04:00,20240721,0,4,1
GO301_24_6718,,0m 57s,2024-07-21 10:02:57-04:00,20240721,0,2,0
GO301_24_8852,,-3m 59s,2024-07-21 09:39:59-04:00,20240721,0,12,0
GO301_24_7716,,1m 37s,2024-07-21 10:04:37-04:00,20240721,0,8,0
GO301_24_6817_1,,-1m 34s,2024-07-21 10:02:34-04:00,20240721,0,6,1
GO301_24_7713,,0m 14s,2024-07-21 09:24:14-04:00,20240721,0,8,1
GO301_24_8717_1,,1m 46s,2024-07-21 09:44:46-04:00,20240721,0,7,1
GO301_24_6719,,0m 48s,2024-07-21 09:33:48-04:00,20240721,0,2,1
GO301_24_6820_2,,2m 31s,2024-07-21 10:11:31-04:00,20240721,0,6,0
GO301_24_6215,,0m 7s,2024-07-21 10:12:07-04:00,20240721,0,1,1
GO301_24_7915,,-5m 57s,2024-07-21 10:16:57-04:00,20240721,0,4,1
GO301_24_8856,,-2m 9s,2024-07-21 10:20:09-04:00,20240721,0,12,0
GO301_24_8020,,0m 40s,2024-07-21 10:21:40-04:00,20240721,0,4,0
GO301_24_7715,,-1m 37s,2024-07-21 10:23:37-04:00,20240721,0,8,1
GO301_24_7520_3,,3m 23s,2024-07-21 10:27:23-04:00,20240721,0,10,0
GO301_24_7104,,2m 54s,2024-07-21 10:29:54-04:00,20240721,0,1,0
GO301_24_6721,,-1m 6s,2024-07-21 10:32:06-04:00,20240721,0,2,1
GO301_24_6123,,3m 22s,2024-07-21 10:33:22-04:00,20240721,0,1,1
GO301_24_6218,,0m 53s,2024-07-21 10:33:53-04:00,20240721,0,1,0
GO301_24_7615_2,,-4m 49s,2024-07-21 10:36:49-04:00,20240721,0,10,1
GO301_24_8860,,-2m 11s,2024-07-21 10:40:11-04:00,20240721,0,12,0
GO301_24_8719_2,,-3m 24s,2024-07-21 10:40:24-04:00,20240721,0,7,1
