trip_id,direction,delay_formatted,local_arrival_time,start_date,schedule_relationship,route_id,direction_id
GO301_24_6820_2,,0m 28s,2024-07-13 10:09:28-04:00,20240713,0,6,0
GO301_24_6001,,3m 59s,2024-07-13 09:55:59-04:00,20240713,0,5,1
GO301_24_6216,,0m 12s,2024-07-13 09:35:12-04:00,20240713,0,1,0
GO301_24_7616_3,,2m 0s,2024-07-13 09:59:00-04:00,20240713,0,10,0
GO301_24_8016,,-1m 57s,2024-07-13 09:20:57-04:00,20240713,0,4,0
GO301_24_6718,,-2m 49s,2024-07-13 10:00:49-04:00,20240713,0,2,0
GO301_24_8020,,1m 0s,2024-07-13 10:22:00-04:00,20240713,0,4,0
GO301_24_6121,,1m 20s,2024-07-13 09:31:20-04:00,20240713,0,1,1
GO301_24_8015_2,,-2m 22s,2024-07-13 09:44:22-04:00,20240713,0,4,1
GO301_24_6719,,-1m 46s,2024-07-13 09:32:46-04:00,20240713,0,2,1
GO301_24_6817_1,,-1m 59s,2024-07-13 10:02:59-04:00,20240713,0,6,1
GO301_24_8717_1,,-3m 44s,2024-07-13 09:40:44-04:00,20240713,0,7,1
GO301_24_7613_2,,-1m 22s,2024-07-13 09:39:22-04:00,20240713,0,10,1
GO301_24_7516_3,,0m 59s,2024-07-13 09:30:59-04:00,20240713,0,10,0
GO301_24_8716_2,,-4m 10s,2024-07-13 09:41:10-04:00,20240713,0,7,0
GO301_24_7916,,0m 9s,2024-07-13 09:51:09-04:00,20240713,0,4,0
GO301_24_6818,,0m 49s,2024-07-13 09:54:49-04:00,20240713,0,6,0
GO301_24_6124,,-1m 35s,2024-07-13 10:05:35-04:00,20240713,0,1,0
GO301_24_6215,,-1m 15s,2024-07-13 10:11:15-04:00,20240713,0,1,1
GO301_24_7915,,-5m 5s,2024-07-13 10:16:05-04:00,20240713,0,4,1
GO301_24_7520_3,,1m 34s,2024-07-13 10:25:34-04:00,20240713,0,10,0
GO301_24_7104,,1m 24s,2024-07-13 10:28:24-04:00,20240713,0,1,0
GO301_24_7517_3,,-3m 35s,2024-07-13 10:05:35-04:00,20240713,0,10,1
GO301_24_6123,,-1m 6s,2024-07-13 10:29:06-04:00,20240713,0,1,1
GO301_24_7716,,-1m 44s,2024-07-13 10:02:44-04:00,20240713,0,8,0
GO301_24_7715,,-1m 35s,2024-07-13 10:23:35-04:00,20240713,0,8,1
GO301_24_8856,,-2m 1s,2024-07-13 10:20:01-04:00,20240713,0,12,0
GO301_24_6218,,-1m 46s,2024-07-13 10:32:46-04:00,20240713,0,1,0
GO301_24_6721,,0m 0s,2024-07-13 10:33:00-04:00,20240713,0,2,1
GO301_24_7615_2,,-3m 0s,2024-07-13 10:37:00-04:00,20240713,0,10,1
GO301_24_8719_2,,-3m 34s,2024-07-13 10:40:34-04:00,20240713,0,7,1
GO301_24_8860,,-2m 40s,2024-07-13 10:40:40-04:00,20240713,0,12,0
GO301_24_8017_2,,-5m 32s,2024-07-13 10:41:32-04:00,20240713,0,4,1
GO301_24_8718_1,,-3m 58s,2024-07-13 10:42:58-04:00,20240713,0,7,0
GO301_24_7920,,-1m 18s,2024-07-13 10:50:18-04:00,20240713,0,4,0
GO301_24_6126,,1m 4s,2024-07-13 10:55:04-04:00,20240713,0,1,0
GO301_24_7620_3,,2m 0s,2024-07-13 10:59:00-04:00,20240713,0,10,0
GO301_24_6720,,-1m 43s,2024-07-13 11:01:43-04:00,20240713,0,2,0
GO301_24_6823_2,,-2m 57s,2024-07-13 11:01:57-04:00,20240713,0,6,1
GO301_24_7718,,-1m 57s,2024-07-13 11:02:57-04:00,20240713,0,8,0
GO301_24_6217,,-5m 59s,2024-07-13 11:06:59-04:00,20240713,0,1,1
